class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,run_tag
cocci,0.992119,0.006334,0.985828,0.016749,0.98886,0.007485,05_resnet50_baseline_dibas
bacilli,0.99019,0.011296,0.994408,0.004541,0.992246,0.004951,05_resnet50_baseline_dibas
cocci,0.994189,0.002433,0.992644,0.00539,0.993405,0.002454,06_resnet50_gan_dibas
bacilli,0.994829,0.003752,0.995897,0.001733,0.995357,0.001701,06_resnet50_gan_dibas
cocci,0.993063,0.006214,0.995216,0.00311,0.994124,0.002922,07_efficientnetv2s_baseline_dibas
bacilli,0.996626,0.002183,0.995062,0.004497,0.995835,0.002106,07_efficientnetv2s_baseline_dibas
cocci,0.994858,0.00439,0.99501,0.003513,0.994922,0.001872,08_efficientnetv2s_gan_dibas
bacilli,0.996487,0.002454,0.996351,0.003142,0.996413,0.001331,08_efficientnetv2s_gan_dibas
cocci,0.986844,0.023375,0.988812,0.008855,0.987632,0.011181,09_convnextv2nano_baseline_dibas
bacilli,0.992166,0.006119,0.990232,0.018287,0.991086,0.008711,09_convnextv2nano_baseline_dibas
cocci,0.989825,0.007435,0.986163,0.012858,0.987915,0.005673,10_convnextv2nano_gan_dibas
bacilli,0.990355,0.00881,0.992774,0.005401,0.991526,0.003841,10_convnextv2nano_gan_dibas
