cnn_seed,run_seed,round_id,model_name,model_display_name,training_mode,epochs,train_loss_final,train_accuracy_final,elapsed_seconds,train_fold_id,test_fold_ids,raw_train_sample_count,raw_test_sample_count,real_train_patch_count,gan_train_patch_count,total_train_patch_count,test_patch_count,real_train_cocci_count,real_train_bacilli_count,gan_train_cocci_count,gan_train_bacilli_count,train_cocci_count,train_bacilli_count,test_cocci_count,test_bacilli_count,sample_count,tp,tn,fp,fn,accuracy,accuracy_cocci,accuracy_bacilli,precision_cocci,recall_cocci,f1_cocci,precision_bacilli,recall_bacilli,f1_bacilli,macro_precision,macro_recall,macro_f1,balanced_accuracy,checkpoint_path,prediction_path,training_history_path,run_tag
2026,2026,1,resnet50,ResNet-50,baseline,10,0.015632,0.996169,199.29,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3669,2416,176,3,0.971424,0.932099,0.999183,0.99876,0.932099,0.964279,0.954226,0.999183,0.976187,0.976493,0.965641,0.970233,0.965641,checkpoints/05_resnet50_baseline_dibas/seed_2026_round_1_final.pth,results/05_resnet50_baseline_dibas/seed_2026_round_1_predictions.csv,results/05_resnet50_baseline_dibas/seed_2026_round_1_training_history.csv,05_resnet50_baseline_dibas
2026,2026,2,resnet50,ResNet-50,baseline,10,0.000406,1.0,156.7,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3661,2556,36,11,0.992497,0.986111,0.997004,0.995715,0.986111,0.99089,0.990262,0.997004,0.993622,0.992989,0.991558,0.992256,0.991558,checkpoints/05_resnet50_baseline_dibas/seed_2026_round_2_final.pth,results/05_resnet50_baseline_dibas/seed_2026_round_2_predictions.csv,results/05_resnet50_baseline_dibas/seed_2026_round_2_training_history.csv,05_resnet50_baseline_dibas
2026,2026,3,resnet50,ResNet-50,baseline,10,0.001622,1.0,154.51,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3619,2574,18,53,0.988665,0.993056,0.985566,0.979825,0.993056,0.986396,0.995051,0.985566,0.990286,0.987438,0.989311,0.988341,0.989311,checkpoints/05_resnet50_baseline_dibas/seed_2026_round_3_final.pth,results/05_resnet50_baseline_dibas/seed_2026_round_3_predictions.csv,results/05_resnet50_baseline_dibas/seed_2026_round_3_training_history.csv,05_resnet50_baseline_dibas
2026,2026,4,resnet50,ResNet-50,baseline,10,0.015,0.996169,150.3,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3644,2584,8,28,0.994253,0.996914,0.992375,0.98928,0.996914,0.993082,0.997809,0.992375,0.995085,0.993545,0.994644,0.994083,0.994644,checkpoints/05_resnet50_baseline_dibas/seed_2026_round_4_final.pth,results/05_resnet50_baseline_dibas/seed_2026_round_4_predictions.csv,results/05_resnet50_baseline_dibas/seed_2026_round_4_training_history.csv,05_resnet50_baseline_dibas
2026,2026,5,resnet50,ResNet-50,baseline,10,0.012922,0.996169,157.03,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3663,2527,65,9,0.988186,0.974923,0.997549,0.996451,0.974923,0.985569,0.982564,0.997549,0.99,0.989508,0.986236,0.987785,0.986236,checkpoints/05_resnet50_baseline_dibas/seed_2026_round_5_final.pth,results/05_resnet50_baseline_dibas/seed_2026_round_5_predictions.csv,results/05_resnet50_baseline_dibas/seed_2026_round_5_training_history.csv,05_resnet50_baseline_dibas
2027,2027,1,resnet50,ResNet-50,baseline,10,0.005518,0.998084,153.05,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3645,2581,11,27,0.993934,0.995756,0.992647,0.989647,0.995756,0.992692,0.996991,0.992647,0.994814,0.993319,0.994202,0.993753,0.994202,checkpoints/05_resnet50_baseline_dibas/seed_2027_round_1_final.pth,results/05_resnet50_baseline_dibas/seed_2027_round_1_predictions.csv,results/05_resnet50_baseline_dibas/seed_2027_round_1_training_history.csv,05_resnet50_baseline_dibas
2027,2027,2,resnet50,ResNet-50,baseline,10,0.007346,0.997446,151.71,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3663,2555,37,9,0.992656,0.985725,0.997549,0.99649,0.985725,0.991078,0.99,0.997549,0.99376,0.993245,0.991637,0.992419,0.991637,checkpoints/05_resnet50_baseline_dibas/seed_2027_round_2_final.pth,results/05_resnet50_baseline_dibas/seed_2027_round_2_predictions.csv,results/05_resnet50_baseline_dibas/seed_2027_round_2_training_history.csv,05_resnet50_baseline_dibas
2027,2027,3,resnet50,ResNet-50,baseline,10,0.002755,0.999361,148.64,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3626,2567,25,46,0.988665,0.990355,0.987473,0.982396,0.990355,0.986359,0.993153,0.987473,0.990305,0.987774,0.988914,0.988332,0.988914,checkpoints/05_resnet50_baseline_dibas/seed_2027_round_3_final.pth,results/05_resnet50_baseline_dibas/seed_2027_round_3_predictions.csv,results/05_resnet50_baseline_dibas/seed_2027_round_3_training_history.csv,05_resnet50_baseline_dibas
2027,2027,4,resnet50,ResNet-50,baseline,10,0.000734,1.0,148.11,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3653,2582,10,19,0.99537,0.996142,0.994826,0.992695,0.996142,0.994416,0.99727,0.994826,0.996046,0.994983,0.995484,0.995231,0.995484,checkpoints/05_resnet50_baseline_dibas/seed_2027_round_4_final.pth,results/05_resnet50_baseline_dibas/seed_2027_round_4_predictions.csv,results/05_resnet50_baseline_dibas/seed_2027_round_4_training_history.csv,05_resnet50_baseline_dibas
2027,2027,5,resnet50,ResNet-50,baseline,10,0.011052,0.998084,147.77,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3670,2526,66,2,0.989144,0.974537,0.999455,0.999209,0.974537,0.986719,0.982334,0.999455,0.990821,0.990771,0.986996,0.98877,0.986996,checkpoints/05_resnet50_baseline_dibas/seed_2027_round_5_final.pth,results/05_resnet50_baseline_dibas/seed_2027_round_5_predictions.csv,results/05_resnet50_baseline_dibas/seed_2027_round_5_training_history.csv,05_resnet50_baseline_dibas
2028,2028,1,resnet50,ResNet-50,baseline,10,0.000776,1.0,148.88,1,"2,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3646,2581,11,26,0.994093,0.995756,0.992919,0.990027,0.995756,0.992883,0.996992,0.992919,0.994952,0.993509,0.994338,0.993917,0.994338,checkpoints/05_resnet50_baseline_dibas/seed_2028_round_1_final.pth,results/05_resnet50_baseline_dibas/seed_2028_round_1_predictions.csv,results/05_resnet50_baseline_dibas/seed_2028_round_1_training_history.csv,05_resnet50_baseline_dibas
2028,2028,2,resnet50,ResNet-50,baseline,10,0.005939,0.998084,147.91,2,"1,3,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3664,2562,30,8,0.993934,0.988426,0.997821,0.996887,0.988426,0.992639,0.991879,0.997821,0.994841,0.994383,0.993124,0.99374,0.993124,checkpoints/05_resnet50_baseline_dibas/seed_2028_round_2_final.pth,results/05_resnet50_baseline_dibas/seed_2028_round_2_predictions.csv,results/05_resnet50_baseline_dibas/seed_2028_round_2_training_history.csv,05_resnet50_baseline_dibas
2028,2028,3,resnet50,ResNet-50,baseline,10,0.000616,1.0,147.74,3,"1,2,4,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3628,2581,11,44,0.99122,0.995756,0.988017,0.983238,0.995756,0.989458,0.996977,0.988017,0.992477,0.990108,0.991887,0.990967,0.991887,checkpoints/05_resnet50_baseline_dibas/seed_2028_round_3_final.pth,results/05_resnet50_baseline_dibas/seed_2028_round_3_predictions.csv,results/05_resnet50_baseline_dibas/seed_2028_round_3_training_history.csv,05_resnet50_baseline_dibas
2028,2028,4,resnet50,ResNet-50,baseline,10,0.002686,1.0,147.71,4,"1,2,3,5",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3651,2590,2,21,0.996328,0.999228,0.994281,0.991957,0.999228,0.995579,0.999453,0.994281,0.99686,0.995705,0.996755,0.99622,0.996755,checkpoints/05_resnet50_baseline_dibas/seed_2028_round_4_final.pth,results/05_resnet50_baseline_dibas/seed_2028_round_4_predictions.csv,results/05_resnet50_baseline_dibas/seed_2028_round_4_training_history.csv,05_resnet50_baseline_dibas
2028,2028,5,resnet50,ResNet-50,baseline,10,0.002453,0.999361,147.75,5,"1,2,3,4",29,116,1566,0,1566,6264,648,918,0,0,648,918,2592,3672,6264,3670,2547,45,2,0.992497,0.982639,0.999455,0.999215,0.982639,0.990858,0.987887,0.999455,0.993637,0.993551,0.991047,0.992248,0.991047,checkpoints/05_resnet50_baseline_dibas/seed_2028_round_5_final.pth,results/05_resnet50_baseline_dibas/seed_2028_round_5_predictions.csv,results/05_resnet50_baseline_dibas/seed_2028_round_5_training_history.csv,05_resnet50_baseline_dibas
2026,2026,1,resnet50,ResNet-50,gan,10,0.012158,0.995643,217.69,1,"2,3,4,5",29,116,1566,270,1836,6264,648,918,270,0,918,918,2592,3672,6264,3659,2545,47,13,0.990421,0.981867,0.99646,0.994918,0.981867,0.98835,0.987318,0.99646,0.991868,0.991118,0.989163,0.990109,0.989163,checkpoints/06_resnet50_gan_dibas/seed_2026_round_1_final.pth,results/06_resnet50_gan_dibas/seed_2026_round_1_predictions.csv,results/06_resnet50_gan_dibas/seed_2026_round_1_training_history.csv,06_resnet50_gan_dibas
